,Date,no_of_cases
0,2020-01-22,0
1,2020-01-23,0
2,2020-01-24,0
3,2020-01-25,0
4,2020-01-26,0
5,2020-01-27,0
6,2020-01-28,0
7,2020-01-29,0
8,2020-01-30,0
9,2020-01-31,0
10,2020-02-01,0
11,2020-02-02,0
12,2020-02-03,0
13,2020-02-04,0
14,2020-02-05,0
15,2020-02-06,0
16,2020-02-07,0
17,2020-02-08,0
18,2020-02-09,0
19,2020-02-10,0
20,2020-02-11,0
21,2020-02-12,0
22,2020-02-13,0
23,2020-02-14,0
24,2020-02-15,0
25,2020-02-16,0
26,2020-02-17,0
27,2020-02-18,0
28,2020-02-19,0
29,2020-02-20,0
30,2020-02-21,0
31,2020-02-22,0
32,2020-02-23,0
33,2020-02-24,0
34,2020-02-25,0
35,2020-02-26,0
36,2020-02-27,0
37,2020-02-28,0
38,2020-02-29,0
39,2020-03-01,1
40,2020-03-02,0
41,2020-03-03,1
42,2020-03-04,1
43,2020-03-05,3
44,2020-03-06,7
45,2020-03-07,17
46,2020-03-08,23
47,2020-03-09,24
48,2020-03-10,24
49,2020-03-11,27
50,2020-03-12,33
51,2020-03-13,45
52,2020-03-14,59
53,2020-03-15,70
54,2020-03-16,79
55,2020-03-17,119
56,2020-03-18,149
57,2020-03-19,177
58,2020-03-20,224
59,2020-03-21,266
60,2020-03-22,297
61,2020-03-23,368
62,2020-03-24,446
63,2020-03-25,527
64,2020-03-26,608
65,2020-03-27,701
66,2020-03-28,761
67,2020-03-29,808
68,2020-03-30,928
69,2020-03-31,1029
70,2020-04-01,1150
71,2020-04-02,1297
72,2020-04-03,1441
73,2020-04-04,1633
74,2020-04-05,1735
75,2020-04-06,1923
76,2020-04-07,2206
77,2020-04-08,2378
78,2020-04-09,2556
79,2020-04-10,2776
80,2020-04-11,2959
81,2020-04-12,3068
82,2020-04-13,3281
83,2020-04-14,3520
84,2020-04-15,3754
85,2020-04-16,3968
86,2020-04-17,4251
87,2020-04-18,4357
88,2020-04-19,4444
89,2020-04-20,4655
90,2020-04-21,4892
91,2020-04-22,5051
92,2020-04-23,5255
93,2020-04-24,5455
94,2020-04-25,5559
95,2020-04-26,5651
96,2020-04-27,5831
97,2020-04-28,5982
98,2020-04-29,6139
99,2020-04-30,6296
100,2020-05-01,6409
101,2020-05-02,6484
102,2020-05-03,6529
103,2020-05-04,6638
104,2020-05-05,6741
105,2020-05-06,6800
106,2020-05-07,6909
107,2020-05-08,7006
108,2020-05-09,7074
109,2020-05-10,7096
110,2020-05-11,7189
111,2020-05-12,7266
112,2020-05-13,7332
113,2020-05-14,7408
114,2020-05-15,7464
115,2020-05-16,7510
116,2020-05-17,7527
117,2020-05-18,7586
118,2020-05-19,7655
119,2020-05-20,7716
120,2020-05-21,7767
121,2020-05-22,7822
122,2020-05-23,7840
123,2020-05-24,7853
124,2020-05-25,7866
125,2020-05-26,7921
126,2020-05-27,7955
127,2020-05-28,7994
128,2020-05-29,8017
129,2020-05-30,8040
130,2020-05-31,8047
131,2020-06-01,8064
132,2020-06-02,8077
133,2020-06-03,8102
134,2020-06-04,8120
135,2020-06-05,8135
136,2020-06-06,8145
137,2020-06-07,8174
138,2020-06-08,8192
139,2020-06-09,8208
140,2020-06-10,8224
141,2020-06-11,8233
142,2020-06-12,8242
143,2020-06-13,8248
144,2020-06-14,8254
145,2020-06-15,8263
146,2020-06-16,8274
147,2020-06-17,8288
148,2020-06-18,8302
149,2020-06-19,8309
150,2020-06-20,8317
151,2020-06-21,8327
152,2020-06-22,8339
153,2020-06-23,8350
154,2020-06-24,8365
155,2020-06-25,8374
156,2020-06-26,8388
157,2020-06-27,8397
158,2020-06-28,8401
159,2020-06-29,8410
160,2020-06-30,8424
161,2020-07-01,8444
162,2020-07-02,8467
163,2020-07-03,8478
164,2020-07-04,8482
165,2020-07-05,8487
166,2020-07-06,8507
167,2020-07-07,8520
168,2020-07-08,8548
169,2020-07-09,8577
170,2020-07-10,8597
171,2020-07-11,8614
172,2020-07-12,8623
173,2020-07-13,8642
174,2020-07-14,8664
175,2020-07-15,8692
176,2020-07-16,8713
177,2020-07-17,8734
178,2020-07-18,8745
179,2020-07-19,8749
180,2020-07-20,8787
181,2020-07-21,8810
182,2020-07-22,8837
183,2020-07-23,8857
184,2020-07-24,8878
185,2020-07-25,8889
186,2020-07-26,8897
187,2020-07-27,8922
188,2020-07-28,8951
189,2020-07-29,8966
190,2020-07-30,8992
191,2020-07-31,9016
192,2020-08-01,9030
193,2020-08-02,9042
194,2020-08-03,9063
195,2020-08-04,9077
196,2020-08-05,9100
197,2020-08-06,9124
198,2020-08-07,9140
199,2020-08-08,9147
200,2020-08-09,9153
201,2020-08-10,9178
202,2020-08-11,9192
203,2020-08-12,9215
204,2020-08-13,9227
205,2020-08-14,9255
206,2020-08-15,9270
207,2020-08-16,9283
208,2020-08-17,9310
209,2020-08-18,9329
210,2020-08-19,9349
211,2020-08-20,9371
212,2020-08-21,9393
213,2020-08-22,9404
214,2020-08-23,9416
215,2020-08-24,9430
216,2020-08-25,9455
217,2020-08-26,9482
218,2020-08-27,9500
219,2020-08-28,9525
220,2020-08-29,9539
221,2020-08-30,9548
222,2020-08-31,9578
223,2020-09-01,9613
224,2020-09-02,9638
225,2020-09-03,9597
226,2020-09-04,9620
227,2020-09-05,9654
228,2020-09-06,9679
229,2020-09-07,9700
230,2020-09-08,9704
231,2020-09-09,9716
232,2020-09-10,9745
233,2020-09-11,9780
234,2020-09-12,9809
235,2020-09-13,9832
236,2020-09-14,9845
237,2020-09-15,9864
238,2020-09-16,9889
239,2020-09-17,9932
240,2020-09-18,9980
241,2020-09-19,10015
242,2020-09-20,10044
243,2020-09-21,10065
244,2020-09-22,10080
245,2020-09-23,10107
246,2020-09-24,10142
247,2020-09-25,10170
248,2020-09-26,10212
249,2020-09-27,10247
250,2020-09-28,10271
251,2020-09-29,10308
252,2020-09-30,10338
253,2020-10-01,10384
254,2020-10-02,10430
255,2020-10-03,10481
256,2020-10-04,10533
257,2020-10-05,10558
258,2020-10-06,10608
259,2020-10-07,10632
260,2020-10-08,10666
261,2020-10-09,10739
262,2020-10-10,10792
263,2020-10-11,10824
264,2020-10-12,10880
265,2020-10-13,10942
266,2020-10-14,10975
267,2020-10-15,11008
268,2020-10-16,11050
269,2020-10-17,11085
270,2020-10-18,11128
271,2020-10-19,11176
272,2020-10-20,11238
273,2020-10-21,11274
274,2020-10-22,11336
275,2020-10-23,11397
276,2020-10-24,11469
277,2020-10-25,11530
278,2020-10-26,11591
279,2020-10-27,11676
280,2020-10-28,11733
281,2020-10-29,11814
282,2020-10-30,11891
283,2020-10-31,11991
284,2020-11-01,12089
285,2020-11-02,12138
286,2020-11-03,12222
287,2020-11-04,12291
288,2020-11-05,12394
289,2020-11-06,12538
290,2020-11-07,12697
291,2020-11-08,12795
292,2020-11-09,12885
293,2020-11-10,13055
294,2020-11-11,13199
295,2020-11-12,13351
296,2020-11-13,13523
297,2020-11-14,13668
298,2020-11-15,13802
299,2020-11-16,13917
300,2020-11-17,14064
301,2020-11-18,14223
302,2020-11-19,14380
303,2020-11-20,14569
304,2020-11-21,14766
305,2020-11-22,14911
306,2020-11-23,15006
307,2020-11-24,15194
308,2020-11-25,15391
309,2020-11-26,15391
310,2020-11-27,15693
311,2020-11-28,15833
312,2020-11-29,16047
313,2020-11-30,16120
314,2020-12-01,16359
315,2020-12-02,16695
316,2020-12-03,17069
317,2020-12-04,17480
318,2020-12-05,17817
319,2020-12-06,18180
320,2020-12-07,18383
321,2020-12-08,18740
322,2020-12-09,19114
323,2020-12-10,19500
324,2020-12-11,19866
325,2020-12-12,20206
326,2020-12-13,20587
327,2020-12-14,20909
328,2020-12-15,21280
329,2020-12-16,21684
330,2020-12-17,22015
331,2020-12-18,22536
332,2020-12-19,22910
333,2020-12-20,23219
334,2020-12-21,23496
335,2020-12-22,23862
336,2020-12-23,24200
337,2020-12-24,24655
338,2020-12-25,24655
339,2020-12-26,25321
340,2020-12-27,25608
341,2020-12-28,25966
342,2020-12-29,26295
343,2020-12-30,26754
344,2020-12-31,27296
345,2021-01-01,27296
346,2021-01-02,28052
347,2021-01-03,28388
348,2021-01-04,28745
349,2021-01-05,29149
350,2021-01-06,29618
351,2021-01-07,30158
352,2021-01-08,30818
353,2021-01-09,31347
354,2021-01-10,31860
355,2021-01-11,32299
356,2021-01-12,32853
357,2021-01-13,33262
358,2021-01-14,33739
359,2021-01-15,34206
360,2021-01-16,34744
361,2021-01-17,35130
362,2021-01-18,35450
363,2021-01-19,35740
364,2021-01-20,36130
365,2021-01-21,36599
366,2021-01-22,37117
367,2021-01-23,37574
368,2021-01-24,37970
369,2021-01-25,38422
370,2021-01-26,38697
371,2021-01-27,38987
372,2021-01-28,39481
373,2021-01-29,39712
374,2021-01-30,40104
375,2021-01-31,40400
376,2021-02-01,40650
377,2021-02-02,40873
378,2021-02-03,41091
379,2021-02-04,41322
380,2021-02-05,41587
381,2021-02-06,41877
382,2021-02-07,42181
383,2021-02-08,42286
384,2021-02-09,42430
385,2021-02-10,42600
386,2021-02-11,42808
387,2021-02-12,43037
388,2021-02-13,43239
389,2021-02-14,43401
390,2021-02-15,43542
391,2021-02-16,43639
392,2021-02-17,43771
393,2021-02-18,43929
394,2021-02-19,44062
395,2021-02-20,44228
396,2021-02-21,44360
397,2021-02-22,44487
398,2021-02-23,44621
399,2021-02-24,44799
400,2021-02-25,44977
401,2021-02-26,45176
402,2021-02-27,45344
403,2021-02-28,45485
404,2021-03-01,45602
405,2021-03-02,45641
406,2021-03-03,45784
407,2021-03-04,45914
408,2021-03-05,46068
409,2021-03-06,46205
410,2021-03-07,46319
411,2021-03-08,46398
412,2021-03-09,46497
413,2021-03-10,46641
414,2021-03-11,46801
415,2021-03-12,46955
416,2021-03-13,47117
417,2021-03-14,47273
418,2021-03-15,47375
419,2021-03-16,47498
420,2021-03-17,47654
421,2021-03-18,47844
422,2021-03-19,48005
423,2021-03-20,48183
424,2021-03-21,48346
425,2021-03-22,48412
426,2021-03-23,48574
427,2021-03-24,48718
428,2021-03-25,48920
429,2021-03-26,49090
430,2021-03-27,49282
431,2021-03-28,49468
432,2021-03-29,49576
433,2021-03-30,49760
434,2021-03-31,49961
435,2021-04-01,50141
436,2021-04-02,50314
437,2021-04-03,50489
438,2021-04-04,50489
439,2021-04-05,50732
440,2021-04-06,50877
441,2021-04-07,51027
442,2021-04-08,51182
443,2021-04-09,51355
444,2021-04-10,51477
445,2021-04-11,51634
446,2021-04-12,51731
447,2021-04-13,51865
448,2021-04-14,52018
449,2021-04-15,52159
450,2021-04-16,52291
451,2021-04-17,52436
452,2021-04-18,52531
453,2021-04-19,52625
454,2021-04-20,52687
455,2021-04-21,52797
456,2021-04-22,52894
457,2021-04-23,53019
458,2021-04-24,53156
459,2021-04-25,53242
460,2021-04-26,53312
461,2021-04-27,53394
462,2021-04-28,53495
463,2021-04-29,53603
464,2021-04-30,53702
465,2021-05-01,53783
466,2021-05-02,53846
467,2021-05-03,53890
468,2021-05-04,53947
469,2021-05-05,54015
470,2021-05-06,54079
471,2021-05-07,54148
472,2021-05-08,54214
473,2021-05-09,54266
474,2021-05-10,54288
475,2021-05-11,54298
476,2021-05-12,54368
477,2021-05-13,54411
478,2021-05-14,54431
479,2021-05-15,54474
480,2021-05-16,54510
481,2021-05-17,54531
482,2021-05-18,54552
483,2021-05-19,54579
484,2021-05-20,54615
485,2021-05-21,54644
486,2021-05-22,54677
487,2021-05-23,54691
488,2021-05-24,54694
489,2021-05-25,54712
490,2021-05-26,54737
491,2021-05-27,54758
492,2021-05-28,54782
493,2021-05-29,54792
494,2021-05-30,54803
495,2021-05-31,54803
496,2021-06-01,54821
497,2021-06-02,54825
498,2021-06-03,54849
499,2021-06-04,54860
500,2021-06-05,54877
501,2021-06-06,54891
502,2021-06-07,54902
503,2021-06-08,54914
504,2021-06-09,54919
505,2021-06-10,54922
506,2021-06-11,54929
507,2021-06-12,54935
508,2021-06-13,54937
509,2021-06-14,54942
510,2021-06-15,54945
511,2021-06-16,54952
512,2021-06-17,54955
513,2021-06-18,54964
514,2021-06-19,54975
515,2021-06-20,54982
516,2021-06-21,54984
517,2021-06-22,54984
518,2021-06-23,54990
519,2021-06-24,54993
520,2021-06-25,55004
521,2021-06-26,55006
522,2021-06-27,55018
523,2021-06-28,55023
524,2021-06-29,55027
525,2021-06-30,55031
526,2021-07-01,55033
527,2021-07-02,55037
528,2021-07-03,55037
529,2021-07-04,55037
530,2021-07-05,55037
531,2021-07-06,55063
532,2021-07-07,55064
533,2021-07-08,55069
534,2021-07-09,55091
535,2021-07-10,55091
536,2021-07-11,55091
537,2021-07-12,55126
538,2021-07-13,55143
539,2021-07-14,55169
540,2021-07-15,55190
541,2021-07-16,55215
542,2021-07-17,55215
543,2021-07-18,55215
544,2021-07-19,55274
545,2021-07-20,55298
